Var,dbTableVar,Type,SubType,Units,UnitsI,PerformanceMetric,Performance,Probability that Mid-Century Performance will be Worse than Current Performance,Folder,SubFolder,Suf,UnitName,UnitNameI,dist,unitsname,filename,BW,BWI,xmin,xmax,ymin,ymax,range.x,range.xI,contuors
S_OROVL,S_OROVL_apr,M,4,1000,0.810708486,Oroville End of April Storage,0.872821758,87%,OroStorage,OroPerf,Apr,MAF,Mm3,,Storage Vol.,OroStorage-April,0.15,250,0.1,2,0.875,1,3.39,4147.62771,
S_OROVL,S_OROVL_oct,M,9,1000,0.810708486,Oroville Carryover Storage,0.982822314,98%,OroStorage,OroPerf,Sept,MAF,Mm3,,Storage Vol.,OroStorage-Sept,0.15,200,2.5,4,0.85,1,3.54,4331.15106,
C_SACSJR,C_SACSJR_winter,SEA,1,1,35.33568905,Winter Net Delta Outflow,0.649671618,65%,DeltaOutflow,NDOPerf,Avg Winter CFS,cfs,m3/s,weibull,Delta Outflow,DeltaOutflow-Winter,4500,135,132000,190000,1.60E-05,2.00E-05,NA,,
C_SACSJR,C_SACSJR_spring,SEA,2,1,35.33568905,Spring Net Delta Outflow,0.649671618,65%,DeltaOutflow,NDOPerf,Spring,cfs,m3/s,weibull,Delta Outflow,DeltaOutflow-Spring,6500,195,109000,168000,2.00E-05,2.20E-05,NA,,
C_SACSJR,C_SACSJR_summer,SEA,3,1,35.33568905,Summer Net Delta Outflow,0.87725783,88%,DeltaOutflow,NDOPerf,Summer,cfs,m3/s,lognormal,Delta Outflow,DeltaOutflow-Summer,2500,75,38500,57000,1.00E-04,1.20E-04,NA,,
C_SACSJR,C_SACSJR_fall,SEA,4,1,35.33568905,Fall Net Delta Outflow,0.649671618,65%,DeltaOutflow,NDOPerf,Fall,cfs,m3/s,lognormal,Delta Outflow,DeltaOutflow-Fall,900,27,31500,46000,0.00009,0.00012,NA,,
SWP_DELIVERIES,SWP_DELIVERIES,TS,NA,1.00E+06,810.7084863,SWP Deliveries,0.872821758,87%,SWPDelives,SWPPerf,,MAF,Mm3,weibull,Deliveries,SWPDelives,0.15,125,0.22,2,7.00E-01,8.00E-01,NA,,
SHORTAGE,SHORTAGES,TS,NA,1000,810.7084863,System Shortages,0.628921752,63%,Shortage,ShortPerf,,TAF,Mm3,,Shortage,Shortage,1500,150,-3220,-2000,1.30E-02,1.50E-02,NA,,
DELTA_EXPORTS,DELTA_EXPORTS,TS,NA,1.00E+06,810.7084863,Delta Exports,,,DeltaExp,DXPerf,,MAF,Mm3,,Exports,DeltaExp,0.2,250,1,5,5.00E-01,4.00E-01,,,
NOD_STORAGE,NOD_STORAGE_apr,M,4,1000,0.810708486,NOD End of April Storage,,,NODStorage,NODPerf,Apr,MAF,Mm3,,Storage Vol.,NODStorage-April,0.15,250,0.1,2,0.875,1,,,
NOD_STORAGE,NOD_STORAGE_oct,M,9,1000,0.810708486,NOD Carryover Storage,,,NODStorage,NODPerf,Sept,MAF,Mm3,,Storage Vol.,NODStorage-Sept,0.15,150,2.5,4,0.85,1,,,
S_TRNTY,S_TRNTY_apr,M,4,1000,0.810708486,Trinity End of April Storage,,,TrinStorage,TrinPerf,Apr,MAF,Mm3,,Storage Vol.,TrinStorage-April,0.15,250,0.1,2,0.875,1,,,
S_TRNTY,S_TRNTY_oct,M,9,1000,0.810708486,Trinity Carryover Storage,,,TrinStorage,TrinPerf,Sept,MAF,Mm3,,Storage Vol.,TrinStorage-Sept,0.15,150,2.5,4,0.85,1,,,
S_SHSTA,S_SHSTA_apr,M,4,1000,0.810708486,Shasta End of April Storage,,,SHAStorage,SHAPerf,Apr,MAF,Mm3,,Storage Vol.,SHAStorage-April,0.15,250,0.1,2,0.875,1,,,
S_SHSTA,S_SHSTA_oct,M,9,1000,0.810708486,Shasta Carryover Storage,,,SHAStorage,SHAPerf,Sept,MAF,Mm3,,Storage Vol.,SHAStorage-Sept,0.15,150,2.5,4,0.85,1,,,
S_FOLSM,S_FOLSM_apr,M,4,1000,0.810708486,Folsom End of April Storage,,,FOLStorage,FOLPerf,Apr,MAF,Mm3,,Storage Vol.,FOLStorage-April,0.05,250,0.1,2,0.875,1,,,
S_FOLSM,S_FOLSM_oct,M,9,1000,0.810708486,Folsom Carryover Storage,,,FOLStorage,FOLPerf,Sept,MAF,Mm3,,Storage Vol.,FOLStorage-Sept,0.05,150,2.5,4,0.85,1,,,
DEL_CVP_PAG_S,DEL_CVP_PAG_S,TS,NA,1.00E+06,0.810708486,CVP SOD AG Deliveries,,,CVP_AG,CVP_AGPerf,,MAF,Mm3,,Deliveries,CVP_AGDelives,0.15,125,0.22,2,7.00E-01,8.00E-01,NA,,
WLdelives,-,TS,NA,1000,0.810708486,WL Deliveries,,,WLD,WLDPerf,,TAF,Mm3,,Deliveries,WLDelives,40,125,0.22,2,7.00E-01,8.00E-01,NA,,
CVPTOTALDEL,CVPTOTALDEL,TS,NA,1.00E+06,810.7084863,CVP Deliveries,,,CVPDelives,CVPPerf,,MAF,Mm3,weibull,Deliveries,CVPDelives,0.15,125,0.22,2,7.00E-01,8.00E-01,NA,,